wl_calc,spectrum_peak_nm_fit
1543.2276968281367,1542.9645660655626
1543.2281968281368,1542.9652886386625
1543.228696828137,1542.9660113168773
1543.229196828137,1542.966734099583
1543.229696828137,1542.9674569861568
1543.2301968281372,1542.968179975974
1543.2306968281373,1542.9689030684121
1543.2311968281374,1542.9696262628481
1543.2316968281375,1542.9703495586573
1543.2321968281376,1542.9710729552166
1543.2326968281377,1542.9717964519034
1543.2331968281378,1542.9725200480927
1543.233696828138,1542.9732437431624
1543.234196828138,1542.9739675364876
1543.234696828138,1542.9746914274463
1543.2351968281382,1542.9754154154139
1543.2356968281383,1542.9761394997677
1543.2361968281384,1542.9768636798835
1543.2366968281385,1542.9775879551382
1543.2371968281386,1542.9783123249083
1543.2376968281387,1542.9790367885703
1543.2381968281388,1542.9797613455005
1543.238696828139,1542.980485995076
1543.239196828139,1542.9812107366724
1543.2396968281391,1542.9819355696668
1543.2401968281392,1542.9826604934353
1543.2406968281393,1542.9833855073553
1543.2411968281394,1542.9841106108024
1543.2416968281395,1542.9848358031538
1543.2421968281396,1542.9855610837856
1543.2426968281397,1542.9862864520744
1543.2431968281398,1542.9870119073962
1543.24369682814,1542.9877374491284
1543.24419682814,1542.9884630766467
1543.2446968281401,1542.9891887893284
1543.2451968281403,1542.9899145865495
1543.2456968281404,1542.9906404676865
1543.2461968281405,1542.9913664321164
1543.2466968281406,1542.9920924792145
1543.2471968281407,1542.9928186083594
1543.2476968281408,1542.9935448189253
1543.2481968281409,1542.9942711102901
1543.248696828141,1542.9949974818303
1543.249196828141,1542.9957239329217
1543.2496968281412,1542.9964504629413
1543.2501968281413,1542.9971770712657
1543.2506968281414,1542.9979037572712
1543.2511968281415,1542.9986305203345
1543.2516968281416,1542.9993573598315
1543.2521968281417,1543.0000842751392
1543.2526968281418,1543.0008112656349
1543.2531968281419,1543.0015383306934
1543.253696828142,1543.002265469692
1543.254196828142,1543.002992682008
1543.2546968281422,1543.003719967017
1543.2551968281423,1543.0044473240953
1543.2556968281424,1543.0051747526202
1543.2561968281425,1543.0059022519679
1543.2566968281426,1543.0066298215147
1543.2571968281427,1543.0073574606372
1543.2576968281428,1543.0080851687123
1543.258196828143,1543.0088129451158
1543.258696828143,1543.009540789225
1543.259196828143,1543.0102687004155
1543.2596968281432,1543.0109966780649
1543.2601968281433,1543.0117247215485
1543.2606968281434,1543.0124528302438
1543.2611968281435,1543.013181003527
1543.2616968281436,1543.0139092407744
1543.2621968281437,1543.0146375413628
1543.2626968281438,1543.0153659046687
1543.263196828144,1543.0160943300682
1543.263696828144,1543.0168228169382
1543.2641968281441,1543.0175513646552
1543.2646968281442,1543.0182799725953
1543.2651968281443,1543.019008640136
1543.2656968281444,1543.0197373666529
1543.2661968281445,1543.0204661515224
1543.2666968281446,1543.021194994122
1543.2671968281447,1543.021923893827
1543.2676968281448,1543.0226528500145
1543.268196828145,1543.023381862061
1543.268696828145,1543.0241109293434
1543.2691968281451,1543.0248400512378
1543.2696968281452,1543.0255692271203
1543.2701968281453,1543.0262984563683
1543.2706968281454,1543.0270277383577
1543.2711968281455,1543.027757072465
1543.2716968281457,1543.0284864580665
1543.2721968281458,1543.0292158945401
1543.2726968281459,1543.0299453812606
1543.273196828146,1543.0306749176052
1543.273696828146,1543.0314045029509
1543.2741968281462,1543.0321341366728
1543.2746968281463,1543.032863818149
1543.2751968281464,1543.0335935467554
1543.2756968281465,1543.0343233218684
1543.2761968281466,1543.0350531428642
1543.2766968281467,1543.0357830091202
1543.2771968281468,1543.036512920012
1543.2776968281469,1543.0372428749172
1543.278196828147,1543.0379728732107
1543.278696828147,1543.03870291427
1543.2791968281472,1543.039432997472
1543.2796968281473,1543.0401631221923
1543.2801968281474,1543.0408932878086
1543.2806968281475,1543.0416234936959
1543.2811968281476,1543.0423537392317
1543.2816968281477,1543.0430840237923
1543.2821968281478,1543.0438143467538
1543.282696828148,1543.0445447074942
1543.283196828148,1543.045275105388
1543.283696828148,1543.046005539813
1543.2841968281482,1543.046736010145
1543.2846968281483,1543.047466515761
1543.2851968281484,1543.048197056038
1543.2856968281485,1543.0489276303508
1543.2861968281486,1543.0496582380772
1543.2866968281487,1543.050388878594
1543.2871968281488,1543.0511195512768
1543.287696828149,1543.0518502555026
1543.288196828149,1543.0525809906478
1543.288696828149,1543.0533117560892
1543.2891968281492,1543.0540425512027
1543.2896968281493,1543.0547733753654
1543.2901968281494,1543.0555042279534
1543.2906968281495,1543.0562351083433
1543.2911968281496,1543.0569660159122
1543.2916968281497,1543.0576969500353
1543.2921968281498,1543.0584279100904
1543.29269682815,1543.0591588954535
1543.29319682815,1543.0598899055008
1543.2936968281501,1543.0606209396094
1543.2941968281502,1543.0613519971555
1543.2946968281503,1543.0620830775158
1543.2951968281504,1543.0628141800664
1543.2956968281505,1543.0635453041843
1543.2961968281506,1543.0642764492452
1543.2966968281507,1543.065007614627
1543.2971968281508,1543.0657387997048
1543.297696828151,1543.0664700038565
1543.298196828151,1543.0672012264574
1543.2986968281512,1543.0679324668845
1543.2991968281513,1543.068663724514
1543.2996968281514,1543.0693949987226
1543.3001968281515,1543.0701262888872
1543.3006968281516,1543.0708575943838
1543.3011968281517,1543.0715889145893
1543.3016968281518,1543.0723202488798
1543.3021968281519,1543.073051596632
1543.302696828152,1543.0737829572229
1543.303196828152,1543.0745143300278
1543.3036968281522,1543.0752457144242
1543.3041968281523,1543.0759771097883
1543.3046968281524,1543.076708515497
1543.3051968281525,1543.0774399309264
1543.3056968281526,1543.078171355453
1543.3061968281527,1543.0789027884532
1543.3066968281528,1543.0796342293033
1543.3071968281529,1543.0803656773812
1543.307696828153,1543.081097132062
1543.308196828153,1543.0818285927226
1543.3086968281532,1543.0825600587395
1543.3091968281533,1543.0832915294893
1543.3096968281534,1543.0840230043484
1543.3101968281535,1543.0847544826938
1543.3106968281536,1543.0854859639012
1543.3111968281537,1543.086217447348
1543.3116968281538,1543.0869489324098
1543.312196828154,1543.087680418463
1543.312696828154,1543.0884119048856
1543.313196828154,1543.0891433910526
1543.3136968281542,1543.0898748763414
1543.3141968281543,1543.090606360128
1543.3146968281544,1543.091337841789
1543.3151968281545,1543.0920693207006
1543.3156968281546,1543.0928007962405
1543.3161968281547,1543.0935322677838
1543.3166968281548,1543.094263734708
1543.317196828155,1543.0949951963887
1543.317696828155,1543.0957266522037
1543.3181968281551,1543.0964581015282
1543.3186968281552,1543.0971895437394
1543.3191968281553,1543.0979209782142
1543.3196968281554,1543.0986524043276
1543.3201968281555,1543.0993838214572
1543.3206968281556,1543.10011522898
1543.3211968281557,1543.100846626272
1543.3216968281558,1543.101578012709
1543.322196828156,1543.1023093876686
1543.322696828156,1543.1030407505268
1543.3231968281561,1543.1037721006599
1543.3236968281562,1543.1045034374442
1543.3241968281563,1543.1052347602576
1543.3246968281564,1543.1059660684755
1543.3251968281565,1543.1066973614747
1543.3256968281567,1543.107428638631
1543.3261968281568,1543.108159899322
1543.3266968281569,1543.1088911429235
1543.327196828157,1543.1096223688126
1543.327696828157,1543.110353576365
1543.3281968281572,1543.1110847649577
1543.3286968281573,1543.1118159339678
1543.3291968281574,1543.1125470827706
1543.3296968281575,1543.1132782107431
1543.3301968281576,1543.1140093172621
1543.3306968281577,1543.114740401704
1543.3311968281578,1543.1154714634447
1543.3316968281579,1543.116202501862
1543.332196828158,1543.116933516331
1543.332696828158,1543.1176645062294
1543.3331968281582,1543.1183954709331
1543.3336968281583,1543.1191264098184
1543.3341968281584,1543.1198573222623
1543.3346968281585,1543.1205882076408
1543.3351968281586,1543.1213190653311
1543.3356968281587,1543.122049894709
1543.3361968281588,1543.1227806951515
1543.336696828159,1543.123511466035
1543.337196828159,1543.1242422067355
1543.337696828159,1543.1249729166307
1543.3381968281592,1543.1257035950955
1543.3386968281593,1543.1264342415082
1543.3391968281594,1543.1271648552436
1543.3396968281595,1543.1278954356794
1543.3401968281596,1543.1286259821918
1543.3406968281597,1543.129356494157
1543.3411968281598,1543.1300869709519
1543.34169682816,1543.1308174119529
1543.34219682816,1543.131547816536
1543.3426968281601,1543.1322781840786
1543.3431968281602,1543.1330085139566
1543.3436968281603,1543.1337388055467
1543.3441968281604,1543.134469058225
1543.3446968281605,1543.1351992713692
1543.3451968281606,1543.1359294443544
1543.3456968281607,1543.136659576558
1543.3461968281608,1543.1373896673565
1543.346696828161,1543.1381197161263
1543.347196828161,1543.1388497222429
1543.3476968281611,1543.1395796850845
1543.3481968281612,1543.140309604026
1543.3486968281613,1543.1410394784455
1543.3491968281614,1543.1417693077176
1543.3496968281615,1543.1424990912208
1543.3501968281616,1543.1432288283304
1543.3506968281617,1543.1439585184235
1543.3511968281618,1543.1446881608763
1543.351696828162,1543.145417755065
1543.352196828162,1543.146147300367
1543.3526968281622,1543.1468767961576
1543.3531968281623,1543.1476062418144
1543.3536968281624,1543.1483356367135
1543.3541968281625,1543.1490649802313
1543.3546968281626,1543.1497942717444
1543.3551968281627,1543.15052351063
1543.3556968281628,1543.151252696263
1543.3561968281629,1543.1519818280212
1543.356696828163,1543.1527109052809
1543.357196828163,1543.153439927418
1543.3576968281632,1543.1541688938098
1543.3581968281633,1543.1548978038322
1543.3586968281634,1543.1556266568623
1543.3591968281635,1543.1563554522768
1543.3596968281636,1543.157084189451
1543.3601968281637,1543.1578128677625
1543.3606968281638,1543.1585414865874
1543.3611968281639,1543.159270045302
1543.361696828164,1543.159998543283
1543.362196828164,1543.1607269799074
1543.3626968281642,1543.1614553545512
1543.3631968281643,1543.1621836665906
1543.3636968281644,1543.1629119154027
1543.3641968281645,1543.1636401003643
1543.3646968281646,1543.1643682208505
1543.3651968281647,1543.1650962762394
1543.3656968281648,1543.165824265907
1543.366196828165,1543.1665521892292
1543.366696828165,1543.1672800455833
1543.367196828165,1543.1680078343452
1543.3676968281652,1543.1687355548918
1543.3681968281653,1543.1694632065996
1543.3686968281654,1543.1701907888444
1543.3691968281655,1543.1709183010043
1543.3696968281656,1543.1716457424543
1543.3701968281657,1543.1723731125714
1543.3706968281658,1543.173100410732
1543.371196828166,1543.1738276363133
1543.371696828166,1543.1745547886908
1543.3721968281661,1543.175281867242
1543.3726968281662,1543.1760088713424
1543.3731968281663,1543.176735800369
1543.3736968281664,1543.1774626536987
1543.3741968281665,1543.1781894307078
1543.3746968281666,1543.1789161307718
1543.3751968281667,1543.1796427532688
1543.3756968281668,1543.1803692975739
1543.376196828167,1543.1810957630648
1543.376696828167,1543.1818221491174
1543.3771968281671,1543.1825484551084
1543.3776968281672,1543.183274680414
1543.3781968281673,1543.184000824411
1543.3786968281674,1543.1847268864758
1543.3791968281676,1543.1854528659846
1543.3796968281677,1543.1861787623143
1543.3801968281678,1543.1869045748415
1543.3806968281679,1543.1876303029428
1543.381196828168,1543.1883559459945
1543.381696828168,1543.189081503373
1543.3821968281682,1543.189806974454
1543.3826968281683,1543.1905323586166
1543.3831968281684,1543.1912576552345
1543.3836968281685,1543.1919828636853
1543.3841968281686,1543.192707983346
1543.3846968281687,1543.1934330135925
1543.3851968281688,1543.194157953801
1543.3856968281689,1543.1948828033487
1543.386196828169,1543.1956075616122
1543.386696828169,1543.1963322279673
1543.3871968281692,1543.1970568017914
1543.3876968281693,1543.1977812824603
1543.3881968281694,1543.1985056693507
1543.3886968281695,1543.1992299618391
1543.3891968281696,1543.199954159302
1543.3896968281697,1543.2006782611156
1543.3901968281698,1543.2014022666574
1543.39069682817,1543.202126175303
1543.39119682817,1543.202849986429
1543.39169682817,1543.2035736994121
1543.3921968281702,1543.204297313629
1543.3926968281703,1543.2050208284563
1543.3931968281704,1543.2057442432847
1543.3936968281705,1543.2064675577615
1543.3941968281706,1543.2071907717475
1543.3946968281707,1543.207913885112
1543.3951968281708,1543.2086368977225
1543.395696828171,1543.2093598094482
1543.396196828171,1543.2100826201565
