wl_calc,spectrum_peak_nm_fit
1544.81223350015,1543.0407960233038
1544.8124335001498,1543.0434966214411
1544.8126335001498,1543.0461908380653
1544.8128335001497,1543.0488787112502
1544.8130335001497,1543.0515602790692
1544.8132335001496,1543.0542355795963
1544.8134335001496,1543.0569046509056
1544.8136335001495,1543.0595675310713
1544.8138335001495,1543.0622242581662
1544.8140335001494,1543.0648748702645
1544.8142335001494,1543.0675194054404
1544.8144335001493,1543.0701579017673
1544.8146335001493,1543.0727903973197
1544.8148335001492,1543.0754169301713
1544.8150335001492,1543.0780375383952
1544.8152335001491,1543.0806522600656
1544.815433500149,1543.0832611332567
1544.815633500149,1543.0858641960422
1544.815833500149,1543.0884614864958
1544.816033500149,1543.091053042691
1544.8162335001489,1543.0936389027027
1544.8164335001488,1543.0962191046035
1544.8166335001488,1543.0987936864683
1544.8168335001487,1543.1013626863703
1544.8170335001487,1543.1039261423832
1544.8172335001486,1543.1064840925817
1544.8174335001486,1543.109036575039
1544.8176335001485,1543.1115836278284
1544.8178335001485,1543.1141252890247
1544.8180335001484,1543.1166615967015
1544.8182335001484,1543.1191925889323
1544.8184335001483,1543.1217183037916
1544.8186335001483,1543.1242387793523
1544.8188335001482,1543.1267540536894
1544.8190335001482,1543.1292641648752
1544.8192335001481,1543.1317691509855
1544.819433500148,1543.1342690500924
1544.819633500148,1543.1367639002713
1544.819833500148,1543.1392537395939
1544.820033500148,1543.1417386061362
1544.8202335001479,1543.1442185379706
1544.8204335001478,1543.1466935731721
1544.8206335001478,1543.1491637498134
1544.8208335001477,1543.1516291059695
1544.8210335001477,1543.1540896797128
1544.8212335001476,1543.1565455091188
1544.8214335001476,1543.1589966322601
1544.8216335001475,1543.1614430872107
1544.8218335001475,1543.163884912045
1544.8220335001474,1543.1663221448368
1544.8222335001474,1543.1687548236596
1544.8224335001473,1543.171182986587
1544.8226335001473,1543.173606671693
1544.8228335001472,1543.176025917052
1544.8230335001472,1543.1784407607374
1544.8232335001471,1543.1808512408227
1544.823433500147,1543.183257395383
1544.823633500147,1543.1856592624813
1544.823833500147,1543.188056876773
1544.824033500147,1543.1904502643988
1544.8242335001469,1543.1928394501929
1544.8244335001468,1543.1952244589913
1544.8246335001468,1543.1976053156277
1544.8248335001467,1543.1999820449378
1544.8250335001467,1543.2023546717553
1544.8252335001466,1543.2047232209152
1544.8254335001466,1543.2070877172525
1544.8256335001465,1543.2094481856022
1544.8258335001465,1543.211804650798
1544.8260335001464,1543.2141571376758
1544.8262335001464,1543.2165056710703
1544.8264335001463,1543.2188502758154
1544.8266335001463,1543.2211909767461
1544.8268335001462,1543.2235277986983
1544.8270335001462,1543.2258607665049
1544.8272335001461,1543.2281899050022
1544.827433500146,1543.230515239024
1544.827633500146,1543.2328367934053
1544.827833500146,1543.2351545929812
1544.828033500146,1543.2374686625858
1544.8282335001459,1543.2397790270545
1544.8284335001458,1543.2420857112213
1544.8286335001458,1543.244388739922
1544.8288335001457,1543.2466881379903
1544.8290335001457,1543.2489839302618
1544.8292335001456,1543.25127614157
1544.8294335001456,1543.253564796751
1544.8296335001455,1543.2558499206395
1544.8298335001455,1543.258131538069
1544.8300335001454,1543.2604096738753
1544.8302335001454,1543.262684352893
1544.8304335001453,1543.2649555999567
1544.8306335001453,1543.2672234399015
1544.8308335001452,1543.2694878975612
1544.8310335001452,1543.2717489977715
1544.8312335001451,1543.2740067653672
1544.831433500145,1543.2762612251818
1544.831633500145,1543.2785124020513
1544.831833500145,1543.2807603208098
1544.832033500145,1543.283005006293
1544.8322335001449,1543.2852464833345
1544.8324335001448,1543.2874847767694
1544.8326335001448,1543.289719911433
1544.8328335001447,1543.291951912159
1544.8330335001447,1543.2941808037833
1544.8332335001446,1543.2964066111397
1544.8334335001446,1543.2986293590636
1544.8336335001445,1543.300849072389
1544.8338335001445,1543.3030657759514
1544.8340335001444,1543.3052794945856
1544.8342335001444,1543.307490253126
1544.8344335001443,1543.309698076407
1544.8346335001443,1543.3119029892637
