wl_calc,spectrum_peak_nm_fit
1544.81223350015,1543.0407960233038
1544.8222335001499,1543.1687548236898
1544.8322335001499,1543.285246483391
1544.8422335001499,1543.393778420821
1544.8522335001499,1543.4974556854493
1544.8622335001498,1543.599382620727
1544.8722335001498,1543.7026558139567
1544.8822335001498,1543.8076176683387
1544.8922335001498,1543.9078024027037
1544.9022335001498,1543.9960895571267
1544.9122335001498,1544.0717539818347
1544.9222335001498,1544.1393932102471
1544.9322335001498,1544.203766911149
1544.9422335001498,1544.269609912638
1544.9522335001498,1544.3396190656324
1544.9622335001498,1544.4129693402076
1544.9722335001497,1544.4884859506838
1544.9822335001497,1544.5649941113813
1544.9922335001497,1544.641319036621
1545.0022335001497,1544.7162859407229
1545.0122335001497,1544.7887318149183
1545.0222335001497,1544.8581642186625
1545.0322335001497,1544.9251098788752
1545.0422335001497,1544.990180872156
1545.0522335001497,1545.0539892751044
1545.0622335001497,1545.1171471643206
1545.0722335001497,1545.180266616404
1545.0822335001496,1545.2439597079551
1545.0922335001496,1545.3088385155734
1545.1022335001496,1545.375479729368
1545.1122335001496,1545.4439311988292
1545.1222335001496,1545.5138340010865
1545.1322335001496,1545.5848187687302
1545.1422335001496,1545.6565161343492
1545.1522335001496,1545.7285567305325
1545.1622335001496,1545.8005711898702
1545.1722335001496,1545.8721901449503
1545.1822335001496,1545.9431266536324
1545.1922335001495,1546.0138912695932
1545.2022335001495,1546.085441787825
1545.2122335001495,1546.1587409443478
1545.2222335001495,1546.2347514751814
1545.2322335001495,1546.314436116347
1545.2422335001495,1546.398757603864
1545.2522335001495,1546.4881347126013
1545.2622335001495,1546.5803144545512
1545.2722335001495,1546.672224899826
1545.2822335001495,1546.7607939046845
1545.2922335001495,1546.8429493253843
1545.3022335001494,1546.915619018183
1545.3122335001494,1546.9757308393393
